vectorized_elementwise_kernel,elementwise_kernel,reduce_kernel,unrolled_elementwise_kernel,index_elementwise_kernel
0,53.71,60.62,0,9.81
0,0.64,60.59,0,9.72
0,53.36,37.13,0,9.74
0,0.65,0,0,9.74
0,53.4,0,0,9.72
0,0.73,0,0,9.72
0,53.7,9.85,0,9.72
0,0.64,9.96,0,9.72
0,53.4,0,0,9.72
0,0.66,60.53,0,9.77
0,53.33,60.78,0,9.72
0,0.66,60.59,0,9.74
0,53.46,37.14,0,9.77
0,0.68,0,0,9.72
0,53.26,0,0,9.74
0,0.72,0,0,9.79
0,53.26,9.87,0,9.72
0,0.67,9.91,0,9.74
0,53.51,0,0,9.77
0,0.61,60.36,0,9.72
0,53.33,60.85,0,9.72
0,0.66,60.88,0,9.79
0,53.26,37.13,0,9.74
0,0.68,0,0,9.72
0,53.61,0,0,9.83
0,0.64,0,0,9.72
0,53.22,9.91,0,9.72
0,0.7,9.93,0,9.77
0,53.34,0,0,9.72
0,0.69,60.51,0,9.72
0,53.51,60.92,0,9.81
0,0.69,60.63,0,9.72
0,53.37,37.13,0,9.72
0,0.71,0,0,9.74
0,53.43,0,0,9.72
0,0.74,0,0,9.72
0,53.3,9.96,0,9.74
0,0.61,9.98,0,9.74
0,53.14,0,0,9.72
0,0.66,60.72,0,9.77
0,53.41,60.72,0,9.72
0,0.62,60.67,0,9.74
0,53.28,37.14,0,9.79
0,0.71,0,0,9.72
0,53.09,0,0,9.74
0,0.63,0,0,9.83
0,53.34,9.83,0,9.72
0,0.63,9.94,0,9.79
0,53.28,0,0,9.77
0,0.67,60.32,0,9.74
0,53.29,60.75,0,9.72
0,0.69,60.83,0,9.79
0,53.41,37.13,0,9.79
0,0.67,0,0,9.77
0,53.39,0,0,9.81
0,0.61,0,0,9.74
0,53.17,9.9,0,9.74
0,0.6,9.92,0,9.77
0,53.45,0,0,9.74
0,0.7,60.66,0,9.72
0,53.34,60.65,0,9.77
0,0.69,60.9,0,9.74
0,53.19,37.12,0,9.72
0,0.65,0,0,9.83
0,53.31,0,0,9.74
0,0.61,0,0,9.79
0,53.43,9.93,0,9.74
0,0.69,9.89,0,9.74
0,53.22,0,0,9.74
0,0.64,60.72,0,9.77
0,53.3,60.76,0,9.77
0,0.63,60.71,0,9.77
0,53.58,37.12,0,9.81
0,0.67,0,0,9.74
0,53.16,0,0,9.74
0,0.68,0,0,9.79
0,53.29,9.93,0,9.72
0,0.64,9.93,0,9.77
0,53.7,0,0,9.79
0,0.62,60.59,0,9.72
0,53.37,60.68,0,9.74
